"","Type.of.feeding.interaction","Predator.lifestage","r.sq","intercept","slope","p.val","F.statistic"
"1","insectivorous","larva / juvenile",0.125577629410637,3.60032838802312,0.384249046154571,0.0465944025225446,4.30836287934848
"2","piscivorous","adult",0.0762549666793182,7.0051761355437,0.285409207488919,3.21527852223257e-307,1460.96633985589
"3","piscivorous","juvenile",0.0715818776775047,8.72126450880204,0.223480124508171,8.16786748011529e-51,233.384440178497
"4","piscivorous","larva / juvenile",0.502262057547569,4.96732009411791,0.652630804441673,0.0146301686798566,9.08180416316188
"5","piscivorous","postlarva",0.0389698693052271,-2.52746573405741,0.106773528674382,0.270820006991041,1.25705314524184
"6","piscivorous","postlarva/juvenile",0,0.242446120869743,0.0940261157514698,NA,NA
"7","planktivorous","adult",0.224199133583999,8.9297727419648,0.802761886290888,3.31771921399377e-10,45.0825287172977
"8","planktivorous","juvenile",1,2.61342271573401,0.168911383542265,NA,NA
"9","planktivorous","larva",0.184732831348562,1.21129528124193,0.43188559810351,2.46433635713652e-47,231.803381438971
"10","planktivorous","larva / juvenile",0.2383099678989,5.08312949598501,0.537539976546299,1.55071505486178e-08,36.918661170477
"11","planktivorous","postlarva/juvenile",0.231238785388307,6.81310614810303,0.675479706794872,1.10590667174295e-16,78.8080363840131
"12","predacious","adult",0.146129065719437,7.72830989158596,0.321994355406028,2.36661210563443e-274,1356.94671825977
"13","predacious","juvenile",0.764901236206758,8.21189551171144,1.06701767698145,0,6832.41617317412
"14","predacious","larva",0.114146688218642,1.43204943227198,0.323614384510346,9.61358023701228e-34,155.91463158479
"15","predacious","larva / juvenile",0.4903774538179,8.33544383272431,0.884974945335472,5.25353664045459e-73,466.684739290751
"16","predacious","postlarva",0.109207422360888,-1.61375195212254,0.15403834606651,0.00458060708606845,8.58170550266892
"17","predacious","postlarva/juvenile",0.144074981970456,1.94865346657023,0.232955400394708,1.17383192983109e-21,98.9760640408157
"18","predacious/piscivorous","adult",0.34115409853576,4.78378800257579,0.531028610582126,4.19117303972473e-16,82.3310906945515
